latitude,longitude,date_time,crime_type,label
17.704184364127258,83.29579655938889,2024-06-05 06:40:00,Theft,1
17.717706037665796,83.32155191318853,2024-07-21 18:43:00,None,0
17.68740929630108,83.21776061998457,2024-09-06 14:59:00,None,0
17.68554722684162,83.21964763343361,2023-06-06 17:59:00,Assault,1
17.722428357674026,83.3016835755803,2023-10-16 18:27:00,None,0
17.71898409036115,83.32243299100244,2023-05-01 02:26:00,None,0
17.687299450790434,83.21716693722082,2024-04-23 00:09:00,None,0
17.71804527759121,83.31986393197795,2023-12-12 10:57:00,Snatching,1
17.704265994103302,83.29660794244371,2024-02-25 22:56:00,Vandalism,1
17.68665115809113,83.21704739907192,2024-07-25 11:25:00,Snatching,1
17.71781166680823,83.32118699650637,2024-06-10 05:19:00,Harassment,1
17.7208813032509,83.32150920772345,2024-11-04 09:06:00,Snatching,1
17.687146245824348,83.22014870732677,2024-09-08 03:02:00,None,0
17.719839629359075,83.32193576325828,2023-04-13 21:10:00,Assault,1
17.720814348735942,83.32102693893438,2023-09-25 05:52:00,Harassment,1
17.705354824262486,83.29877478173277,2023-01-04 18:03:00,Vandalism,1
17.719928220673957,83.30036646656092,2023-07-02 01:12:00,None,0
17.688170557895653,83.2196693871408,2024-04-12 11:44:00,None,0
17.68517829955552,83.21889942075178,2023-05-25 03:05:00,Assault,1
17.687869329891967,83.22047045230642,2023-09-24 05:24:00,None,0
17.721025041603543,83.30012322452825,2023-09-22 12:56:00,Harassment,1
17.743612450903107,83.31505823838101,2023-09-30 01:27:00,Assault,1
17.702876912801354,83.29744519178143,2024-01-30 18:10:00,None,0
17.719561310755324,83.32039409217425,2024-12-06 04:23:00,Harassment,1
17.70309450687096,83.29603618743822,2024-06-28 23:25:00,None,0
17.721220043034783,83.30343454978693,2023-09-02 12:00:00,Vandalism,1
17.68518641282311,83.21984154033156,2023-03-06 07:56:00,None,0
17.74471211850466,83.3165462570714,2024-11-29 08:50:00,Vandalism,1
17.685117133123782,83.22014938653808,2024-10-30 23:56:00,None,0
17.68829192763529,83.21879052226186,2023-08-19 00:37:00,None,0
17.68881237325332,83.21744077227598,2024-12-11 23:14:00,None,0
17.68842737912205,83.220396510287,2024-09-18 20:14:00,None,0
17.705856591729887,83.29802047754143,2024-10-26 15:47:00,None,0
17.741870641613488,83.31567773743252,2023-09-05 17:25:00,None,0
17.702937823955555,83.29700480246808,2024-01-14 13:15:00,Vandalism,1
17.685374089439872,83.21820558012263,2024-09-14 06:04:00,None,0
17.686330561886617,83.21924426247874,2023-04-19 14:51:00,None,0
17.7035437042045,83.29867390976365,2024-04-24 20:03:00,None,0
17.743062517623425,83.31509833786377,2024-08-23 19:45:00,Vandalism,1
17.70588181138582,83.29822652929396,2023-02-11 12:18:00,Vandalism,1
17.744464233100484,83.3150027071875,2023-07-13 02:57:00,None,0
17.7187732076539,83.31966349053175,2024-09-28 00:10:00,None,0
17.686454237220392,83.2183035434194,2024-07-13 04:25:00,None,0
17.704250007262935,83.29820384269917,2023-01-23 23:53:00,Vandalism,1
17.687697323699258,83.21751281722146,2024-02-02 17:41:00,Snatching,1
17.74176440411213,83.31461022628594,2024-12-14 17:49:00,None,0
17.7435808428174,83.31350511171041,2024-04-20 13:56:00,None,0
17.685623660321415,83.21736783724167,2023-05-17 23:33:00,Vandalism,1
17.723456821493237,83.30044272275657,2023-02-12 23:56:00,None,0
17.72230988100064,83.30057808470694,2023-11-29 20:23:00,Assault,1
17.720680511762595,83.32038018485174,2024-08-03 13:25:00,Theft,1
17.702270493767987,83.2957525160586,2023-06-15 13:33:00,Vandalism,1
17.717338531998355,83.32125316965612,2023-05-29 10:07:00,None,0
17.722256776465315,83.30092264485322,2023-09-24 10:18:00,None,0
17.743954788050658,83.31595488923058,2024-12-17 05:17:00,Assault,1
17.687461905471558,83.22019094474717,2024-05-02 21:07:00,None,0
17.72252067826421,83.30016121308039,2024-08-31 02:03:00,Snatching,1
17.687340254033927,83.21864009666359,2024-01-17 15:45:00,None,0
17.721790079162897,83.30096055021686,2024-06-15 13:10:00,Harassment,1
17.72108106600028,83.31960498852459,2024-02-05 18:26:00,None,0
17.687066903494593,83.22009812853133,2024-06-13 18:56:00,Snatching,1
17.71865716430722,83.32136072933253,2024-11-02 23:36:00,None,0
17.702521644335004,83.29821970446463,2024-07-29 01:32:00,None,0
17.686219097537432,83.21855024601673,2023-03-21 19:18:00,Vandalism,1
17.702504760867985,83.29902578294508,2023-06-30 08:58:00,None,0
17.720375625651844,83.30033477509089,2024-02-15 19:03:00,None,0
17.744627225216426,83.3150660793077,2024-07-08 08:13:00,Theft,1
17.686115970744808,83.22011316963064,2024-03-30 01:08:00,None,0
17.717929930776933,83.31918967995567,2024-09-24 13:52:00,Harassment,1
17.68651816065839,83.21904457179441,2024-01-19 10:38:00,None,0
17.744355981671525,83.31614641012929,2023-04-18 10:13:00,None,0
17.71779190785976,83.31905860107317,2023-04-02 12:44:00,None,0
17.741256339160717,83.313464410707,2024-04-16 14:36:00,None,0
17.743195051048136,83.31690977691721,2023-03-11 15:26:00,None,0
17.743359377149257,83.31373219166748,2023-05-29 20:59:00,None,0
17.721730738312726,83.29980993240603,2023-02-27 20:43:00,Assault,1
17.744508034729314,83.31536438763628,2024-09-06 22:21:00,None,0
17.722387762668443,83.30215780695099,2023-11-10 03:58:00,Harassment,1
17.68666817499236,83.21973604692506,2024-07-18 20:18:00,None,0
17.718350776767302,83.31944380788636,2023-01-21 23:41:00,Theft,1
17.704079717007435,83.2986408745114,2023-09-14 17:13:00,None,0
17.721907858327203,83.30019152928213,2023-06-11 06:38:00,Assault,1
17.743982004987448,83.31530050847607,2023-05-26 10:53:00,Harassment,1
17.744183934944285,83.31546086877628,2024-02-13 06:13:00,Vandalism,1
17.704492524981198,83.29823377696367,2024-10-15 07:13:00,Harassment,1
17.686170797934853,83.21791157985955,2023-08-22 18:10:00,Assault,1
17.719844767590374,83.30153155905988,2023-10-17 22:47:00,None,0
17.721194318251776,83.31949480433096,2024-11-30 11:22:00,Harassment,1
17.71864934796226,83.3216255876316,2024-04-26 13:46:00,None,0
17.7057653335367,83.29714591914708,2023-11-23 18:49:00,Theft,1
17.720145466124134,83.30295398340279,2024-04-27 08:53:00,None,0
17.74401106968465,83.31634910261587,2024-03-22 12:54:00,None,0
17.72193677443392,83.3020294941857,2024-11-08 16:43:00,None,0
17.744220084238055,83.3138518138906,2024-09-27 16:12:00,None,0
17.68901863826395,83.22038927773706,2024-12-31 07:05:00,Assault,1
17.689269767916148,83.21935159473892,2023-12-31 09:21:00,None,0
17.686467135782053,83.22041860219132,2024-02-03 02:03:00,Vandalism,1
17.704254597313135,83.29927028877235,2024-10-26 20:04:00,None,0
17.687880304363357,83.21762738108106,2024-07-10 08:00:00,None,0
17.68871093190407,83.22042018829923,2023-06-04 18:03:00,None,0
17.685552907352314,83.21803838023077,2023-06-27 15:08:00,None,0
17.706094843179873,83.29615178480705,2023-11-04 02:13:00,Theft,1
17.704840331982663,83.29897859097937,2024-07-22 17:24:00,Assault,1
17.71960097494403,83.32214427808654,2023-10-03 06:53:00,None,0
17.72301029412824,83.29974254474487,2024-07-25 21:53:00,None,0
17.686998414263616,83.21935425576478,2023-03-26 03:10:00,None,0
17.686473761872417,83.22014092596228,2023-06-05 05:26:00,Assault,1
17.722412655881406,83.30203726461609,2023-03-07 19:18:00,None,0
17.744085734065926,83.31616212032736,2023-06-01 07:09:00,None,0
17.741501822886892,83.31463943417351,2024-11-05 22:57:00,None,0
17.689281395436122,83.22048905243906,2023-01-11 05:13:00,Theft,1
17.705047434783136,83.29751258864222,2024-04-04 09:36:00,None,0
17.741454291826415,83.31602703722726,2023-08-19 16:06:00,Harassment,1
17.68557237087564,83.21937895613898,2023-07-14 04:02:00,None,0
17.68746342138341,83.21862066491968,2023-12-01 15:37:00,None,0
17.7058649988796,83.29969417917464,2023-07-06 12:52:00,Snatching,1
17.6876780088789,83.21893225279072,2023-09-12 21:44:00,None,0
17.7440192476191,83.31483561425115,2023-06-09 14:14:00,None,0
17.718874168824037,83.32016849455253,2023-11-12 13:36:00,Vandalism,1
17.72027970273852,83.30094962641232,2024-11-19 18:49:00,None,0
17.70274139515194,83.29728556276062,2024-09-10 05:32:00,None,0
17.686945818706736,83.21794054058861,2024-05-05 04:29:00,Vandalism,1
17.688260926059737,83.22012752315172,2024-11-13 04:51:00,None,0
17.743257080405026,83.31698843833377,2024-02-04 15:12:00,Vandalism,1
17.743587090686752,83.31423970867895,2024-09-19 14:22:00,Harassment,1
17.74185940135989,83.31485821549887,2024-06-12 20:03:00,None,0
17.719505599845906,83.30098984759546,2023-08-04 17:07:00,None,0
17.720486451886572,83.32124097501766,2023-02-24 06:07:00,None,0
17.705495005996507,83.29916709003385,2023-03-03 11:23:00,None,0
17.703853591381268,83.29765006729464,2024-08-22 03:56:00,Snatching,1
17.744608576143587,83.31581520610288,2024-10-16 03:17:00,None,0
17.717731087165898,83.32138871833817,2024-08-28 19:39:00,None,0
17.71793442186042,83.32181179475366,2023-09-25 11:43:00,None,0
17.703507062440043,83.29785105468191,2023-11-07 12:12:00,Theft,1
17.74156275986108,83.31345072136257,2023-08-27 07:16:00,None,0
17.719898414847368,83.30086182387723,2024-01-25 16:45:00,None,0
17.74294778465964,83.314016756014,2023-04-15 07:03:00,Vandalism,1
